brand_id,brand
1,Alpen Pass
2,AND1
3,Arena
4,Asics
5,Azteq
6,Babolat
7,Barbedo
8,Black Diamond
9,Bull Terrier
10,Bullys
11,Caloi
12,Columbia
13,Conquista
14,Curtlo
15,DC Shoes
16,Deuter
17,Dropboards
18,Element
19,Everlast
20,FCS
21,Globe
22,Head
23,Hurley
24,Intac
25,Lorpen
26,Lotto
27,Mercur
28,Mizuno
29,New Balance
30,Nixon
31,Ogio
32,Olympikus
33,Penalty
34,Petzl
35,Polar
36,Pro Lite
37,Quiksilver
38,Reebok
39,Reef
40,Rip Curl
41,Salomon
42,Saucony
43,Sea to Summit
44,Sister Outdoors
45,Solo
46,Speedo
47,Suunto
48,The North Face
49,Timberland
50,Topper
51,Trilhas & Rumos
52,UFC
53,Umbro
54,Urgh
55,Wilson
56,Nike
57,Tendon
58,Shimano
59,Prowell
60,Cateye
61,Epic Line
62,Billabong
63,Coghlan's
64,Puma
65,Adidas
66,Mikasa
67,Etnies
68,Polar Bottle
69,MCD
70,New Era
71,Santa Cruz
72,Ricta
73,Bullet
74,Independent
75,Drop Dead
76,Creature
77,Child
78,Change
79,Nautika
80,Coleman
81,Crail
82,Moog
83,Agacê
84,Type-S
85,5Boro
86,Jessup
87,Hardply
88,Electron
89,Topeak
90,Scott
91,GoldCoast
92,Sims
93,Gordon & Smith
94,Tracker USA
95,Seismic
96,Moska
97,Track Bikes
98,Creatures of Leisure
99,Thule
100,Xtrax Sports
101,Victorinox
102,Kalf
103,Roxy
104,Jetbag
105,...Lost
106,KTM
107,Maglite
108,Tasco
109,Celestron
110,Bushnell
111,Surf Prescriptions
112,BXEL
113,Sharp Eye
114,Stand up
115,Mormaii
116,Exustar
117,Sigma
118,Lazer
119,Lake
120,Six Gear
121,Tracker
122,Rusty
123,Hang Loose
124,Volcom
125,Kampa
126,Hi-Tec
127,C1rca
128,Kenner
129,Kalapalo
130,Hang Ten
131,Fox
132,ASW
133,GoPro
134,Gorilla Grip
135,X-Trak
136,Miss Sirena
137,Alpinestars
138,Redley
139,Vans
140,Tranz-X
141,Converse
142,Bio Bike
143,Mac Boot
144,Nirve
145,Vento by Nômade
146,Milipol
147,Pretorian
148,Torian
149,Camp
150,Edelweiss
151,Henri Trampolim
152,KanuLock
153,HandiRack
154,Waterman
155,KoleGear
156,Fivefingers
157,Exposis
158,Braddock
159,Leatt
160,Acerbis
161,Wirtz
162,Smith
163,Zero
164,Mob
165,Hideout 
166,Mor
167,Hyper
168,Dakine
169,ACTE Sports
170,Kpaloa
171,Keiko
172,Kenkorp
173,Bad Boy
174,Red Nose Fight
175,High Sierra
176,Koral
177,Kona
178,MKS
179,Shift
180,IMS
181,O'neal
182,Polisport
183,Pro Taper
184,4climb
185,Stocovich
186,One
187,Hart and Huntington
188,Six Six One
189,Rudel
190,Fly Racing
191,Thor
192,Unit
193,Dragon
194,EVS
195,THH
196,Tapout
197,WG
198,Go Easy
199,Guepardo
200,Oakley
201,Evoke
202,Fish
203,Palisades
204,Skullcandy
205,Penny
206,H2O Audio
207,Hydro
208,Fila Skates
209,Memo
210,Asterisk
211,PRO Circuit
212,Evolubike
213,Bones
214,Intex
215,Koston
216,Highland
217,Red Bull Racing - F1
218,Red Bull Racing - Stock Car
219,Red Bull X-Fighters
220,Red Bull Media House
221,Integralmédica - Body Size
222,Integralmédica - VO2
223,Integralmédica - Darkness
224,Nutricé
225,Universal Nutrition
226,Nutrilatina - Linolen
227,Nutrilatina - Age
228,Red Bull Brasil - Futebol
229,Red Bull Scuderia Toro Rosso
230,Durban
231,Dahon
232,Cobra D'agua
233,Integralmédica
234,Snake
235,Syntrax
236,AST Sports
237,Revolution
238,NeoNutri
239,Probiótica
240,Bike Easy
241,Verden
242,Barzi Motors
243,Labrada Nutrition
244,Pacific Health
245,Planet For Fitness
246,Stacker 2
247,GAT
248,Arnold Nutrition
249,New Advance
250,Krux
251,Ultra Safe
252,HB
253,Herchcovitch; MCD
254,Yerbah
255,Hidro 2
256,Eko
257,Performance Nutrition
258,Starter
259,Dream Fitness
260,Wenger
261,Oxbike
262,Optimum Nutrition
263,Dymatize Nutrition
264,Prolab
265,Nutrex
266,ABB Performance
267,Stem Pharmaceutical
268,Kinetron
269,US Boards
270,Atlhetica Evolution
271,Atlhetica
272,VitaminLife
273,T-Force
274,ZFlex
275,Wood Light
276,MusclePharm
277,Champion Nutrition
278,BSN
279,Eclectic
280,Superga
281,Totem
282,Midway
283,O'neill
284,Inner Armour
285,SDC Nutrition
286,Harbinger
287,KT Tape
288,Blender Bottler
289,Dainese
290,SKL
291,Solaris
292,Allmax Nutrition
293,Nature's Best
294,Next Proteins
295,BNRG - Bio Nutritional
296,Supreme Protein
297,CytoSport
298,Adaptogen Science
299,Body Action
300,Basthianna
301,Airwalk
302,Niggli Pads
303,K-swiss
304,Polimet
305,Kikos
306,Clans
307,Supflex
308,Fila
309,Shop 126
310,Nutrilatina - Clinical
311,HD
312,Blue Man
313,Juice
314,Vex By Dafra
315,Gibbon Slacklines
316,Sunny Wheel
317,Speedo Nutrition
318,ProN2
319,Basic Nutrition
320,Probiótica - Professional
321,Ferrari
322,B&W
323,Kanui
324,First Bike
325,G-Unit
326,Gaspari Nutrition
327,Axis Labs
328,VPX Sports
329,New Whey Nutrition
330,NeoCell
331,Naturally More
332,Red Bull Limited Edition
333,Tour de France
334,Sunplim
335,Jumplim
336,Mormaii Saúde - Solar Sport
337,Mormaii Saúde - Vulcanus
338,Mormaii Saúde - Botanikè
339,Singing Rock
340,Sticky Bumps
341,Shapers Fins
342,Elleven
