color_id,color
1,Preto
2,Laranja
3,Azul
4,Verde
5,Bronze
6,Cinza
7,Vermelho
8,Prata
9,Dourado
10,Roxo
11,Incolor
12,NULL
13,Amarelo
14,Branco
15,Rosa
16,Verde Claro
17,Rosa Brilhante
18,Azul Claro
19,Azul Marinho
20,Fumê
21,Verde-azulado
22,Azul Escuro
23,Dourado Escuro
24,Cinza Escuro
25,Violeta
26,Cristal
27,Vermelho Indiano
28,Grafite
29,Colorido
30,Cinza Claro
31,Chumbo
32,Marrom
33,Vermelho Escuro
34,Azul Celeste
35,Lilás
36,Verde Mar Médio
37,Bege
38,Verde Militar
39,Azul Real
40,Cinza Médio
41,Cereja
42,Azul Céu Profundo
43,Bordô
44,Azul Índigo
45,Verde Fluorescente
46,Turquesa
47,Salmão
48,Salmão Escuro
49,Marrom Rosado
50,Rosa Forte
51,Coral
52,Vinho
53,Magenta escuro
54,Cinza Platina
55,Magenta
56,Cinza Mescla
57,Laranja escuro
58,Rosa Choque
59,Verde Escuro
60,Fúcia
61,Amarelo Ouro
62,Púrpura
63,Limão
64,Neon
65,Rosa Profundo
66,Amarelo Esverdeado
67,Rosa Neon
68,Aço
69,Chocolate
70,Amarelo Neon
71,Ameixa
72,Amora
73,Verde Lima
74,Creme
75,Platina
76,Azul Naval
77,Amarelo Claro
78,Champagne
79,Café
80,Marrom Claro
81,Oliva
82,Marrom Sela
83,Fuligem
84,Carmim
85,Castanho Claro
86,Madeira
87,Rútilo
88,Caramelo
89,Camelo
90,Rosa Claro
91,Terracota
92,Azul Areado
93,Verde Amarelado
94,Cru
95,Verde Espectro
96,Verde Floresta
97,Caqui
98,Camuflado
99,Cinza Fosco
100,Borgonha
101,Abóbora
102,Gelo
103,Carmim Carnáceo
104,Verde Mar
105,Verde Grama
106,Azul Ardósia
107,Ferrugem
108,Azul Cobalto
109,Azul Aço
110,Branco Antigo
111,Azul Petróleo
112,Multicor
113,Ciano claro
114,Marfim
115,Verde Mar claro
116,Azul Ardósia Escuro
117,Salmão Claro
118,Azul Meia-Noite
119,Verde Mar escuro
120,Oliva Parda
121,Índigo
122,Branco Fantasma
123,Esmeralda
124,Oliva Escura
125,Verde Pálido
126,Rasta
127,Orquídea
128,Azul Médio
129,Vermelho Mescla
130,Areia
131,Goiaba
132,Rosa Embaçado
133,Off White
134,Royal
135,Ciano escuro
136,Azul Céu
137,Azul Mescla
138,Neve
139,Branco Fumaça
140,Jeans
141,Cinza Ardósia
142,Verde Mescla
143,Azul Alfazema
144,Vermelho Violeta Pálido
145,Amarelo Queimado
146,Cinza Ardósia escuro
147,Azul Flor de Milho
148,Coral Claro
149,Caqui escuro
150,Lima
151,Água-marinha
152,Uva
153,Avelã
154,Azul Furtivo
155,Alizarina
156,Ocre
157,Pink
158,Azul Ardósia Médio
159,Kiwi
160,Lavanda
161,Tomate
162,Azul Violeta
163,Mostarda
164,Verde Neon
165,Ouro
166,Jade
167,Carmesim
168,Milho Claro
169,Laranja Gerbera
170,Água
171,Jabuticaba
172,Púrpura média
173,Turquesa Escura
174,Cardo
175,Verde Paris
176,Payote
177,Bone
178,Cinza Ardósia claro
179,Azul Alice
180,Couro
181,Marrom Amarelado
182,Malva
183,Pele
184,Ônix
185,Argila
186,Castanho
187,Cenoura
188,Branco Navajo
189,Listras
190,Papoula
191,Pêssego
192,Framboesa
193,Azul Beleste Brilhante
194,Floral
195,Onça
196,Lavanda avermelhada
197,Naval
198,Canela
199,Vermelho Violeta Médio
200,Anil
201,Beringela
202,Vermelho Violeta
203,Azul Ardósia Claro
204,Damasco
205,Azul Céu Claro
206,Âmbar
207,Amêndoa
208,Creme de Marisco
209,Verde Primavera
210,Violeta Escuro
211,Girassol
212,Água-marinha Média
213,Rosa Mescla
214,Azul Força Aérea
215,Azul Camarada
216,Dourado Pálido
217,Amarelo Mescla
218,Aspargo
219,Cobre
220,Nude
221,Triássico
222,Azul Aço Claro
223,Azul Manteiga
224,Anis
225,Rouxinol
226,Concha
227,Orquídea escura
228,Azul Cadete
229,Mamão batido
230,Estampado
231,Duna
232,Capuccino
233,Zebra
234,Melancia
235,Animal Print
236,Imbuia
237,Muiracatiara
238,Geométrico
239,Poás
240,Tribal
