"","x"
"1","verde"
"2","bronze"
"3","roxo"
"4","incolor"
"5","null"
"6","rosa brilhante"
"7","azul marinho"
"8","fumê"
"9","cristal"
"10","grafite"
"11","colorido"
"12","chumbo"
"13","marrom"
"14","lilás"
"15","verde mar médio"
"16","verde militar"
"17","azul real"
"18","cereja"
"19","azul céu profundo"
"20","azul Índigo"
"21","verde fluorescente"
"22","marrom rosado"
"23","rosa forte"
"24","vinho"
"25","cinza platina"
"26","cinza mescla"
"27","rosa choque"
"28","fúcia"
"29","amarelo ouro"
"30","limão"
"31","neon"
"32","rosa profundo"
"33","amarelo esverdeado"
"34","rosa neon"
"35","aço"
"36","amarelo neon"
"37","amora"
"38","verde lima"
"39","platina"
"40","azul naval"
"41","champagne"
"42","café"
"43","marrom sela"
"44","fuligem"
"45","carmim"
"46","rútilo"
"47","caramelo"
"48","camelo"
"49","terracota"
"50","azul areado"
"51","verde amarelado"
"52","cru"
"53","verde espectro"
"54","camuflado"
"55","borgonha"
"56","abóbora"
"57","gelo"
"58","carmim carnáceo"
"59","azul ardósia"
"60","ferrugem"
"61","azul cobalto"
"62","branco antigo"
"63","azul petróleo"
"64","multicor"
"65","verde mar claro"
"66","azul ardósia escuro"
"67","verde mar escuro"
"68","oliva parda"
"69","Índigo"
"70","branco fantasma"
"71","esmeralda"
"72","oliva escura"
"73","rasta"
"74","vermelho mescla"
"75","areia"
"76","goiaba"
"77","rosa embaçado"
"78","off white"
"79","royal"
"80","azul mescla"
"81","jeans"
"82","verde mescla"
"83","azul alfazema"
"84","vermelho violeta pálido"
"85","amarelo queimado"
"86","azul flor de milho"
"87","Água-marinha"
"88","uva"
"89","avelã"
"90","alizarina"
"91","ocre"
"92","pink"
"93","azul ardósia médio"
"94","kiwi"
"95","azul violeta"
"96","mostarda"
"97","verde neon"
"98","jade"
"99","laranja gerbera"
"100","Água"
"101","jabuticaba"
"102","púrpura média"
"103","turquesa escura"
"104","cardo"
"105","verde paris"
"106","payote"
"107","bone"
"108","couro"
"109","malva"
"110","Ônix"
"111","argila"
"112","castanho"
"113","cenoura"
"114","listras"
"115","papoula"
"116","framboesa"
"117","azul beleste brilhante"
"118","floral"
"119","onça"
"120","lavanda avermelhada"
"121","canela"
"122","vermelho violeta médio"
"123","anil"
"124","beringela"
"125","vermelho violeta"
"126","azul ardósia claro"
"127","damasco"
"128","azul céu claro"
"129","Âmbar"
"130","amêndoa"
"131","creme de marisco"
"132","girassol"
"133","Água-marinha média"
"134","rosa mescla"
"135","azul força aérea"
"136","azul camarada"
"137","amarelo mescla"
"138","aspargo"
"139","cobre"
"140","nude"
"141","triássico"
"142","azul aço claro"
"143","azul manteiga"
"144","anis"
"145","rouxinol"
"146","orquídea escura"
"147","azul cadete"
"148","estampado"
"149","duna"
"150","capuccino"
"151","zebra"
"152","melancia"
"153","animal print"
"154","imbuia"
"155","muiracatiara"
"156","geométrico"
"157","poás"
"158","tribal"
